epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl
1,7226.171476,7174.084475,52.086964,5639.527148,5630.873470,8.653681
2,4358.213946,4289.953040,68.260899,3597.815999,3528.471598,69.344487
3,3570.545418,3458.133776,112.411642,3245.068750,3141.768506,103.300208
4,2945.528542,2845.855815,99.672696,2903.280664,2800.613558,102.667131
5,2643.554375,2544.127262,99.427104,2833.239535,2752.162288,81.077249
6,2442.617168,2349.282136,93.335047,2384.709977,2290.534652,94.175300
7,2353.444025,2262.618179,90.825846,2211.360726,2110.093750,101.267007
8,2218.109457,2132.543736,85.565728,2138.201742,2049.722282,88.479425
9,2089.823056,2004.858041,84.965010,2153.476188,2073.417920,80.058271
10,1987.003752,1902.274013,84.729727,1914.214502,1824.089779,90.124741
11,1917.938865,1834.775209,83.163659,1863.604159,1775.573201,88.030958
12,1842.163618,1755.077376,87.086251,1826.953182,1733.859660,93.093490
13,1783.113685,1696.305013,86.808655,1837.603564,1754.758944,82.844614
14,1759.429501,1668.018086,91.411404,1780.528963,1688.351204,92.177767
15,1676.654778,1580.993243,95.661516,1660.773104,1557.662305,103.110794
16,1620.167707,1526.185600,93.982109,1588.681356,1492.415234,96.266135
17,1603.468326,1511.001833,92.466484,1818.422502,1725.581413,92.841055
18,1585.169248,1493.203703,91.965554,1625.473812,1517.451571,108.022278
19,1524.692446,1429.674798,95.017651,1571.990731,1470.956535,101.034173
20,1478.928746,1387.605083,91.323654,1567.469971,1466.092928,101.377058
21,1438.241466,1345.723122,92.518355,1563.033065,1471.725692,91.307361
22,1408.888558,1319.397509,89.491051,1514.200244,1421.702059,92.498173
23,1416.900506,1327.081343,89.819180,1463.338021,1373.010067,90.327944
24,1413.039807,1322.962936,90.076868,1581.479639,1480.349902,101.129748
25,1374.676329,1281.456168,93.220153,1479.093319,1389.073633,90.019685
26,1342.134051,1251.442954,90.691104,1450.858447,1358.070825,92.787615
27,1327.447709,1234.917706,92.530006,1451.082113,1362.953573,88.128532
28,1324.026413,1234.310673,89.715742,1477.546639,1388.214998,89.331655
29,1314.127784,1221.757972,92.369820,1450.489453,1360.720532,89.768894
30,1285.540524,1193.452583,92.087961,1470.590259,1377.681405,92.908855
31,1290.475893,1199.449625,91.026277,1449.957251,1354.437004,95.520255
32,1309.368783,1215.094457,94.274327,1448.169906,1349.796753,98.373178
33,1292.237702,1198.666918,93.570774,1423.507715,1329.322331,94.185373
34,1257.404053,1165.252107,92.151949,1427.335482,1334.806706,92.528780
35,1255.703566,1162.609310,93.094252,1531.805843,1445.481185,86.324665
36,1245.517935,1150.782894,94.735031,1399.016724,1305.214575,93.802160
37,1210.681249,1116.760426,93.920825,1502.279924,1405.747111,96.532814
