epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl
38,1213.430108,1122.476673,90.953435,1404.157121,1313.654036,90.503075
39,1187.770291,1096.054623,91.715676,1407.068140,1317.203149,89.864963
40,1188.622041,1094.355480,94.266555,1408.476489,1316.130786,92.345719
41,1155.625755,1063.434655,92.191098,1410.678060,1320.200122,90.477915
42,1169.980825,1079.555828,90.425003,1463.997388,1370.219360,93.777986
43,1169.803667,1074.251592,95.552078,1523.551302,1427.007690,96.543628
44,1185.323032,1088.938885,96.384151,1463.666797,1365.801799,97.865037
45,1167.703761,1073.221744,94.482000,1570.033081,1476.921029,93.112069
46,1177.069057,1084.517356,92.551716,1625.805363,1529.080965,96.724369
47,1186.121402,1088.798338,97.323072,1536.005737,1432.538224,103.467516
48,1171.755576,1074.296726,97.458850,1408.544588,1311.009668,97.534944
49,1123.244663,1028.151371,95.093281,1404.471818,1311.282495,93.189325
50,1113.630261,1022.114397,91.515868,1384.270451,1291.079321,93.191121
51,1093.206101,1001.790907,91.415187,1438.312744,1339.606022,98.706698
52,1163.196183,1069.255529,93.940659,1398.679248,1299.746200,98.933064
53,1111.254441,1018.009551,93.244902,1386.876676,1288.819368,98.057324
54,1094.392271,1000.974859,93.417422,1485.106372,1393.883236,91.223160
55,1098.049355,1005.431207,92.618136,1425.849219,1328.343726,97.505469
56,1090.028442,994.254175,95.774261,1413.954028,1322.795044,91.158999
57,1133.152535,1039.475864,93.676673,1417.033944,1320.561361,96.472599
58,1108.296989,1015.687321,92.609674,1461.441431,1367.184570,94.256885
59,1048.805452,956.039164,92.766289,1404.699512,1307.129631,97.569888
60,1049.789283,958.834710,90.954567,1372.877848,1275.650675,97.227154
61,1050.277161,958.374427,91.902742,1518.186182,1420.895109,97.291103
62,1076.479150,984.326206,92.152952,1385.120549,1291.731340,93.389235
63,1036.213558,941.611197,94.602351,1394.378418,1297.584147,96.794304
64,1030.814383,939.115207,91.699192,1381.022648,1285.575171,95.447463
65,1020.705296,926.539035,94.166261,1413.446265,1322.515535,90.930742
66,1038.412758,945.128890,93.283863,1393.195768,1298.729598,94.466169
67,1044.425445,949.101520,95.323912,1636.478223,1536.707365,99.770853
68,1140.119219,1042.422227,97.696986,1694.598291,1595.671037,98.927265
69,1124.327513,1022.208826,102.118684,1486.727214,1388.929980,97.797225
70,1143.557524,1039.812353,103.745164,1623.996680,1527.032910,96.963778
71,1047.093053,946.293610,100.799446,1408.699894,1315.678459,93.021420
72,1011.092993,913.223694,97.869304,1503.653532,1410.748250,92.905292
73,978.655469,883.956402,94.699075,1459.268262,1366.393237,92.875004
74,984.109675,891.271589,92.838093,1420.926229,1326.270573,94.655631
75,1009.586379,914.916776,94.669607,1413.501652,1319.808114,93.693545
76,1052.919942,960.009710,92.910249,1468.460701,1369.528312,98.932415
77,1070.359015,970.622096,99.736929,1460.275195,1358.663997,101.611196
78,999.481909,902.045398,97.436507,1406.864689,1310.797225,96.067433
79,998.151818,905.057295,93.094513,1527.105615,1431.993840,95.111743
80,1014.341541,919.862673,94.478873,1456.264038,1363.744816,92.519237
81,1011.592709,911.421369,100.171332,1428.801229,1321.194914,107.606323
82,1037.296324,936.909141,100.387172,1478.927083,1367.956641,110.970435
83,1095.680544,990.965850,104.714695,1563.157064,1459.850448,103.306639
84,986.103447,885.046144,101.057311,1405.928670,1314.754305,91.174388
85,949.710370,854.162206,95.548167,1378.430550,1284.913420,93.517147
86,964.696671,870.068664,94.628009,1404.692065,1307.903491,96.788563
87,939.663281,846.289288,93.373993,1439.082935,1341.516626,97.566296
88,937.098490,844.391920,92.706568,1375.927856,1284.817188,91.110670
89,918.430706,825.044216,93.386490,1428.705566,1337.795964,90.909608
90,941.980498,848.505859,93.474642,1391.593400,1302.379142,89.214233
91,918.716632,824.789002,93.927631,1419.451286,1329.081535,90.369751
92,920.330728,827.699798,92.630931,1426.032080,1335.730233,90.301856
93,937.054607,843.615748,93.438855,1416.493652,1315.467537,101.026103
94,946.083700,850.124233,95.959474,1417.906795,1321.998234,95.908563
95,914.519647,817.106885,97.412763,1423.981201,1326.881934,97.099278
96,932.770776,839.354602,93.416177,1437.205404,1340.001270,97.204133
97,899.274123,804.453630,94.820503,1383.313477,1287.281974,96.031533
98,914.272201,821.258012,93.014185,1618.531738,1525.679435,92.852285
99,904.943307,811.548143,93.395170,1464.858700,1369.042847,95.815865
100,911.130754,817.498025,93.632729,1458.565088,1363.501799,95.063304
101,915.495904,823.189931,92.305982,1443.589583,1347.981095,95.608457
102,905.689747,812.166936,93.522808,1403.825700,1308.068058,95.757646
103,857.137918,766.488968,90.648948,1395.852336,1297.218660,98.633680
104,868.584476,777.568040,91.016434,1440.087891,1352.563957,87.523927
105,942.429683,849.362223,93.067461,1431.414990,1332.826237,98.588761
106,926.574324,828.928844,97.645489,1478.569564,1378.584806,99.984736
107,898.662693,803.006890,95.655803,1409.858781,1310.063957,99.794830
108,939.126238,845.748006,93.378237,1458.883171,1362.288599,96.594590
109,922.886996,827.830396,95.056604,1474.345907,1383.078288,91.267617
110,861.029586,765.054035,95.975551,1464.012907,1368.373543,95.639378
111,936.500201,842.852191,93.648006,1464.424194,1368.147957,96.276243
112,913.806480,813.939520,99.866949,1444.769849,1342.691724,102.078119
113,870.684027,773.574457,97.109566,1454.023665,1357.104598,96.919090
114,847.836458,753.778486,94.057987,1420.365194,1329.791243,90.573963
115,846.446659,752.513958,93.932706,1471.510059,1379.593107,91.916978
116,828.901473,737.262419,91.639046,1401.756055,1307.744401,94.011633
117,853.535392,761.047981,92.487409,1421.730143,1326.686328,95.043799
118,846.217606,755.072838,91.144768,1448.087354,1355.462085,92.625296
119,844.887895,751.249112,93.638791,1495.427474,1398.901343,96.526143
120,837.180869,742.289691,94.891175,1406.754240,1314.553215,92.201064
